category,title,local,date,link
Gastronomia,CONFEITAR MINAS 2025,"MINASCENTRO - Belo Horizonte, MG",18 de Mar a 20 de Mar,https://www.sympla.com.br/evento/confeitar-minas-2025/2789298
Gastronomia,O Que Tem na Cozinha,"MoDi Giardino - São Paulo, SP",16 de Jan a 01 de Mar,https://bileto.sympla.com.br/event/96122
Gastronomia,Epic Mountain 10 ANOS,"Espera Feliz - Espera Feliz, MG",25 de Abr a 27 de Abr,https://www.sympla.com.br/evento/epic-mountain-10-anos/2742710
Gastronomia,Festa do Verão,"Condado de Prata - Nova Prata, RS","Sábado, 01 de Mar às 16:00",https://www.sympla.com.br/evento/festa-do-verao/2800767
Gastronomia,Uma noite inesquecível no Restaurante Terraço Itália em 2025,"Terraço Itália - São Paulo, SP",24 de Jan a 30 de Mai,https://www.sympla.com.br/evento/uma-noite-inesquecivel-no-restaurante-terraco-italia-em-2025/2769925
Gastronomia,CHURRASCAO CRUZEIRO 2025,"Cruzeiro Esporte Clube - Clube Pampulha - Belo Horizonte, MG","Sábado, 31 de Mai às 19:00",https://www.sympla.com.br/evento/churrascao-cruzeiro-2025/2697921
Gastronomia,Hamburgada do Bem - Santa Bárbara dOeste - 461,"Santa Bárbara d'Oeste - Santa Bárbara d'Oeste, SP","Sábado, 08 de Fev às 08:30",https://www.sympla.com.br/evento/hamburgada-do-bem-santa-barbara-doeste-461/2799476
Gastronomia,Inside The Star Ponta Grossa - PR,"Cervejaria Heineken Ponta Grossa - Ponta Grossa, PR",21 de Jan a 28 de Fev,https://bileto.sympla.com.br/event/101324
Gastronomia,SERGIPE VINHO SHOW 2025,"Del Mar Hotel Aracaju - Aracaju, SE",28 de Mar a 29 de Mar,https://www.sympla.com.br/evento/sergipe-vinho-show-2025/2807064
Gastronomia,Hamburgada do Bem - São Paulo - 462,"São Paulo - São Paulo, SP","Sábado, 15 de Fev às 08:30",https://www.sympla.com.br/evento/hamburgada-do-bem-sao-paulo-462/2799488
Gastronomia,Hamburgada do Bem - Jundiaí - 459,"Jundiaí - Jundiaí, SP","Sábado, 01 de Fev às 08:30",https://www.sympla.com.br/evento/hamburgada-do-bem-jundiai-459/2796652
Gastronomia,Encontro de Vinhos Ribeirão Preto - Fevereiro,"Espaço Bella Città - Ribeirão Preto, SP","Sábado, 08 de Fev às 12:00",https://www.sympla.com.br/evento/encontro-de-vinhos-ribeirao-preto-fevereiro/2780008
Gastronomia,Hamburgada do Bem - ABC - 460,"Santo André - Santo André, SP","Sábado, 08 de Fev às 08:30",https://www.sympla.com.br/evento/hamburgada-do-bem-abc-460/2799464
Gastronomia,Congresso Bahia sugar cake,"Shopping paralela  - Salvador, BA",05 de Fev a 06 de Fev,https://www.sympla.com.br/evento/congresso-bahia-sugar-cake/2692986
Gastronomia,Hamburgada na Rua - HBR 55 - São Paulo,"São Paulo - São Paulo, SP","Domingo, 16 de Fev às 08:30",https://www.sympla.com.br/evento/hamburgada-na-rua-hbr-55-sao-paulo/2796724
Gastronomia,FÁBRICA DE CHEFS 2025,"Espaço Patrick Ribeiro - Aeroporto de Vitória - Vitória, ES","Segunda, 28 de Abr às 08:00",https://www.sympla.com.br/evento/fabrica-de-chefs-2025/2779579
Gastronomia,7ª Mostra Vinho no Trem de Campinas,"Maria Fumaça Campinas - Campinas, SP","Sábado, 28 de Jun às 15:00",https://www.sympla.com.br/evento/7a-mostra-vinho-no-trem-de-campinas/2784348
Gastronomia,All Beers Sessions 2025 - Edição Verão,"Espaço Escandinavo - Sao Paulo, SP","Sábado, 08 de Fev às 13:30",https://www.sympla.com.br/evento/all-beers-sessions-2025-edicao-verao/2770289
Gastronomia,"Curso Presencial em UBERABA - Bolos Decorativos, Pastas deliciosas e Docinhos Personalizados","Havana Palace II - Uberaba, MG",27 de Jan a 28 de Jan,https://www.sympla.com.br/evento/curso-presencial-em-uberaba-bolos-decorativos-pastas-deliciosas-e-docinhos-personalizados/2780569
Gastronomia,Churrascada Deodora,"Cervejaria Artesanal Deodora - Maceió, AL","Sábado, 08 de Fev às 16:00",https://www.sympla.com.br/evento/churrascada-deodora/2784756
Gastronomia,Abrindo Portas para um Novo Ciclo,"Restaurante Maria Eugênia - Curitiba, PR","Terça, 04 de Fev às 19:00",https://www.sympla.com.br/evento/abrindo-portas-para-um-novo-ciclo/2749274
Gastronomia,Férias no kinoko,"Kinoko Restaurante - Belo Horizonte, MG",23 de Jan a 31 de Jan,https://www.sympla.com.br/evento/ferias-no-kinoko/2773137
Gastronomia,Festival Gastrônomico Ferro & Brasa - 3º Edição,"Chácara João de Barro RS - Mato Castelhano, RS","Sábado, 22 de Fev às 15:00",https://www.sympla.com.br/evento/festival-gastronomico-ferro-brasa-3o-edicao/2788297
Gastronomia,5º Festival de Carnes - Brasa e Fogo,"Chacara Superkilo - Montes Claros, MG","Sábado, 10 de Mai às 14:00",https://www.sympla.com.br/evento/5o-festival-de-carnes-brasa-e-fogo/2765769
Gastronomia,"Curso Presencial em MOGI DAS CRUZES - Bolos Decorativos, Pastas deliciosas e Docinhos Personalizados","Binder Hotel - Mogi das Cruzes, SP","Sexta, 07 de Fev às 08:30",https://www.sympla.com.br/evento/curso-presencial-em-mogi-das-cruzes-bolos-decorativos-pastas-deliciosas-e-docinhos-personalizados/2791596
Gastronomia,PADARIA ESCOLA FEVEREIRO 2025,"Programa Ser Parte - Contagem, MG",20 de Jan a 25 de Fev,https://www.sympla.com.br/evento/padaria-escola-fevereiro-2025/2796747
Gastronomia,FESTIVAL ISO 2025,"Casa Pampulha - Belo Horizonte, MG","Sábado, 31 de Mai às 12:00",https://www.sympla.com.br/evento/festival-iso-2025/2586799
Gastronomia,FESTIVAL BRASILEIRO DA CERVEJA,"Expocentro Balneário Camboriú - Santa Catarina - Balneário Camboriú, SC","Sábado, 15 de Mar às 17:00",https://www.sympla.com.br/evento/festival-brasileiro-da-cerveja/2495912
Gastronomia,"Curso Presencial em MAUÁ - Bolos Decorativos, Pastas deliciosas e Docinhos Personalizados","Ideal Festas Buffet - Mauá, SP","Quinta, 06 de Fev às 08:30",https://www.sympla.com.br/evento/curso-presencial-em-maua-bolos-decorativos-pastas-deliciosas-e-docinhos-personalizados/2791584
Gastronomia,Clube Delas - Vinhos & Versos Pretos 4ª Edição,"R. Carmo do Rio Verde, 109 - São Paulo, SP","Domingo, 09 de Fev às 11:00",https://www.sympla.com.br/evento/clube-delas-vinhos-versos-pretos-4a-edicao/2788986
Gastronomia,16ª Confraria SG,"Arena SG Gramado - Gramado, RS","Sábado, 29 de Mar às 12:00",https://www.sympla.com.br/evento/16a-confraria-sg/2750659
Gastronomia,Curso de Gastronomia no Bunkyo - Tofu caseiro,"Sociedade Brasileira de Cultura Japonesa - São Paulo, SP","Quarta, 12 de Fev às 09:00",https://www.sympla.com.br/evento/curso-de-gastronomia-no-bunkyo-tofu-caseiro/2789874
Gastronomia,CURSO DE PIZZA    ,"CEASA Centrais de Abastecimento de Minas Gerais - Contagem, MG","Segunda, 27 de Jan às 08:00",https://www.sympla.com.br/evento/curso-de-pizza/2780842
Gastronomia,FESTIVAL BRASILEIRO DA CERVEJA,"Expocentro Balneário Camboriú - Santa Catarina - Balneário Camboriú, SC","Sexta, 14 de Mar às 19:00",https://www.sympla.com.br/evento/festival-brasileiro-da-cerveja/2495893
Gastronomia,SANTO ASSADO - SANTA BODEGA CACHOEIRINHA - PROJETO TAUREANDO,"Santa Bodega - Cachoeirinha, RS","Sexta, 14 de Fev às 19:00",https://www.sympla.com.br/evento/santo-assado-santa-bodega-cachoeirinha-projeto-taureando/2778855
Gastronomia,"Curso Presencial em SÃO BERNARDO DO CAMPO - Bolos Decorativos, Pastas e Docinhos Personalizados","Astron Saint Moritz By Nobile - São Bernardo do Campo, SP","Segunda, 10 de Fev às 08:30",https://www.sympla.com.br/evento/curso-presencial-em-sao-bernardo-do-campo-bolos-decorativos-pastas-e-docinhos-personalizados/2796673
Gastronomia,Curso de Férias - Marmitas,"UniArnaldo - Centro Universitário Arnaldo Janssen  - Belo Horizonte, MG","Terça, 28 de Jan às 18:30",https://www.sympla.com.br/evento/curso-de-ferias-marmitas/2787657
Gastronomia,1º Fórum de Segurança de Alimentos de Curitiba,"Local a definir - Curitiba, PR","Sexta, 25 de Abr às 08:30",https://www.sympla.com.br/evento/1o-forum-de-seguranca-de-alimentos-de-curitiba/2757991
Gastronomia,CARNABIER 2025 :: LANÇAMENTO DE 2 CERVEJAS COLABORATIVAS :: ATRAÇÕES MUSICAIS :: 15 DE FEV,"Brut Bier - Divinópolis, MG","Sábado, 15 de Fev às 12:00",https://www.sympla.com.br/evento/carnabier-2025-lancamento-de-2-cervejas-colaborativas-atracoes-musicais-15-de-fev/2798176
Gastronomia,CURSO DE HAMBÚRGUER ARTESANAL,"CEASA Centrais de Abastecimento de Minas Gerais - Contagem, MG","Segunda, 27 de Jan às 08:00",https://www.sympla.com.br/evento/curso-de-hamburguer-artesanal/2779327
Gastronomia,CRISTIANO QUEVEDO NO SANTO ASSADO - SANTA BODEGA CACHOEIRINHA,"Santa Bodega - Cachoeirinha, RS","Sexta, 31 de Jan às 19:00",https://www.sympla.com.br/evento/cristiano-quevedo-no-santo-assado-santa-bodega-cachoeirinha/2780401
Gastronomia,Jantar Cego                                  ,"Espaço Dive - São Paulo, SP","Sexta, 14 de Fev às 21:00",https://www.sympla.com.br/evento/jantar-cego/2790116
Gastronomia,Hamburgada do Bem - Sorocaba - 466,"Sorocaba - Sorocaba, SP","Sábado, 22 de Fev às 08:30",https://www.sympla.com.br/evento/hamburgada-do-bem-sorocaba-466/2799499
Gastronomia,UM PASSEIO PELA ITÁLIA,"Zona Sul Gilka Machado - Rio de Janeiro, RJ","Quarta, 29 de Jan às 19:00",https://www.sympla.com.br/evento/um-passeio-pela-italia/2792048
Gastronomia,Curso de Férias - Risotos,"UniArnaldo - Centro Universitário Arnaldo Janssen  - Belo Horizonte, MG","Segunda, 27 de Jan às 18:00",https://www.sympla.com.br/evento/curso-de-ferias-risotos/2787622
Gastronomia,DEGUSTAÇÃO GUIADA MADRE TERRA,"La Cave Gastronomia e Vinhos - Florianópolis, SC","Quarta, 05 de Fev às 19:45",https://www.sympla.com.br/evento/degustacao-guiada-madre-terra/2808989
